,id,date,state,sentiment
188,1255864438848135168,2020-04-30,MH,-1
189,1255865560723869698,2020-04-30,RJ,-1
190,1255868156876328960,2020-04-30,GJ,-1
191,1255868520581206024,2020-04-30,MH,-1
192,1255872193986203652,2020-04-30,MP,-1
193,1255873252309831683,2020-04-30,GJ,-1
194,1255876740590776323,2020-04-30,MH,-1
195,1255876952168300544,2020-04-30,MH,-1
196,1255879098318106625,2020-04-30,UP,-1
197,1255880142326554631,2020-04-30,UT,-1
198,1255888543911743488,2020-04-30,RJ,-1
199,1255888678838251522,2020-04-30,MH,-1
200,1255895147260383232,2020-04-30,GJ,-1
201,1255898514057543683,2020-04-30,UP,-1
202,1255898526833274880,2020-04-30,MH,-1
203,1255902764162482176,2020-04-30,UP,-1
204,1255906809795219459,2020-04-30,AS,-1
205,1255909944026632192,2020-04-30,TG,-1
206,1255910129708433413,2020-04-30,MH,-1
207,1255916438050635776,2020-04-30,MH,-1
208,1255917645855162369,2020-04-30,MH,-1
209,1255922305328349185,2020-04-30,WB,-1
210,1255923843115384834,2020-04-30,OR,-1
211,1255928538982645760,2020-04-30,OR,-1
212,1255929232485683201,2020-04-30,TN,-1
213,1255929443761217542,2020-04-30,GJ,-1
214,1255930582858694656,2020-04-30,KL,-1
215,1255932028517744646,2020-04-30,GJ,-1
216,1255934397246660608,2020-04-30,MH,-1
217,1255935364830760972,2020-04-30,MH,-1
218,1255943941993762816,2020-04-30,UP,-1
219,1255945092944330752,2020-04-30,MH,-1
220,1255945360066744320,2020-04-30,DL,-1
221,1255969792055443457,2020-04-30,UT,-1
222,1256022012578926592,2020-05-01,TN,-1
223,1256029077846155264,2020-05-01,DL,-1
224,1256029080622792709,2020-05-01,DL,-1
225,1256035311928434692,2020-05-01,TN,-1
226,1256036756312526850,2020-05-01,MH,-1
227,1256037235889037312,2020-05-01,TN,-1
228,1256042426868924416,2020-05-01,MH,-1
229,1256044174027051008,2020-05-01,DL,-1
230,1256053744359428103,2020-05-01,MH,-1
231,1256056956114124801,2020-05-01,MH,-1
232,1256066886569082880,2020-05-01,TN,-1
233,1256069092173385730,2020-05-01,KA,-1
234,1256073764535754752,2020-05-01,BR,-1
235,1256078277631832064,2020-05-01,AP,-1
236,1256079986185953291,2020-05-01,KA,-1
237,1256082941634940931,2020-05-01,MH,-1
238,1256089680719876098,2020-05-01,RJ,-1
